iter	Passed	Remaining
0	1	190
1	3	185
2	5	175
3	6	159
4	9	171
5	11	185
6	13	178
7	15	176
8	16	170
9	18	164
10	19	160
11	21	157
12	24	161
13	46	286
14	48	275
15	51	268
16	53	259
17	58	266
18	59	255
19	61	245
20	62	236
21	64	228
22	66	221
23	76	241
24	79	238
25	86	245
26	90	244
27	100	258
28	109	268
29	114	266
30	116	259
31	134	286
32	137	278
33	138	269
34	146	271
35	147	262
36	149	254
37	150	245
38	152	238
39	153	230
40	160	231
41	194	267
42	200	266
43	202	257
44	209	256
45	211	247
46	212	239
47	215	233
48	217	226
49	224	224
50	226	217
51	229	212
52	233	206
53	245	209
54	254	208
55	257	202
56	260	196
57	261	189
58	265	184
59	271	180
60	272	174
61	274	168
62	287	169
63	291	164
64	293	157
65	294	151
66	298	146
67	303	142
68	307	138
69	309	132
70	311	127
71	317	123
72	320	118
73	322	113
74	344	114
75	345	109
76	349	104
77	352	99
78	354	94
79	356	89
80	358	84
81	360	79
82	362	74
83	366	69
84	367	64
85	369	60
86	370	55
87	373	50
88	387	47
89	389	43
90	396	39
91	406	35
92	418	31
93	420	26
94	423	22
95	425	17
96	427	13
97	429	8
98	430	4
99	433	0
