iter	Passed	Remaining
0	162	161987
1	165	82645
2	168	56005
3	171	42768
4	177	35323
5	180	29898
6	181	25814
7	183	22744
8	184	20353
9	187	18550
10	193	17414
11	195	16074
12	196	14937
13	198	13947
14	199	13076
15	200	12321
16	201	11658
17	206	11265
18	207	10718
19	208	10220
20	209	9770
21	210	9364
22	211	8991
23	212	8643
24	213	8326
25	214	8029
26	215	7756
27	216	7506
28	220	7374
29	221	7159
30	222	6950
31	223	6753
32	224	6569
33	225	6396
34	226	6235
35	227	6083
36	228	5938
37	229	5800
38	230	5669
39	231	5552
40	233	5464
41	234	5359
42	236	5260
43	237	5168
44	239	5081
45	240	4995
46	241	4906
47	248	4918
48	249	4838
49	250	4757
50	252	4699
51	254	4645
52	256	4580
53	261	4578
54	262	4510
55	263	4444
56	265	4396
57	267	4342
58	268	4283
59	269	4226
60	271	4175
61	272	4119
62	274	4082
63	276	4049
64	278	4000
65	279	3956
66	281	3914
67	282	3869
68	283	3826
69	288	3831
70	291	3808
71	292	3765
72	293	3723
73	294	3685
74	295	3646
75	296	3609
76	298	3572
77	299	3538
78	304	3553
79	306	3519
80	307	3488
81	310	3474
82	311	3438
83	312	3410
84	314	3381
85	321	3421
86	323	3399
87	325	3369
88	326	3338
89	327	3310
90	328	3284
91	335	3309
92	337	3294
93	339	3268
94	340	3242
95	341	3216
96	342	3191
97	344	3167
98	350	3190
99	352	3169
100	355	3163
101	356	3141
102	358	3117
103	359	3097
104	364	3107
105	366	3094
106	368	3074
107	369	3054
108	370	3031
109	372	3010
110	373	2990
111	374	2970
112	378	2968
113	385	2998
114	398	3067
115	404	3080
116	412	3111
117	429	3213
118	431	3197
119	433	3181
120	463	3366
121	465	3346
122	470	3357
123	481	3398
124	483	3386
125	487	3378
126	499	3435
127	501	3414
128	502	3395
129	512	3431
130	514	3410
131	515	3389
132	516	3370
133	518	3350
134	525	3369
135	528	3355
136	531	3350
137	542	3391
138	545	3381
139	547	3362
140	549	3345
141	550	3325
142	555	3327
143	556	3310
144	559	3298
145	560	3279
146	562	3262
147	573	3299
148	576	3294
149	588	3336
150	589	3317
151	591	3297
152	592	3278
153	593	3259
154	599	3267
155	602	3262
156	604	3245
157	605	3226
158	606	3210
159	608	3195
160	609	3175
161	615	3182
162	619	3179
163	620	3162
164	622	3152
165	623	3134
166	628	3134
167	631	3127
168	632	3110
169	633	3095
170	637	3089
171	643	3100
172	650	3107
173	651	3094
